% time	cellId	IMSI	RNTI	rsrp	sinr
2.79521	1	2	6	6.32182e-11	2.41935
2.79521	1	3	1	6.40178e-11	2.49676
2.79521	1	4	3	6.47403e-11	2.57268
2.79521	1	5	4	6.53798e-11	2.64672
2.79621	1	1	2	6.23446e-11	2.34057
2.79621	1	2	6	6.32155e-11	2.4191
2.79621	1	3	1	6.40156e-11	2.49654
2.79621	1	4	3	6.47386e-11	2.57249
2.79621	1	5	4	6.53785e-11	2.64656
2.79721	1	1	2	6.23414e-11	2.34029
2.79721	1	2	6	6.32128e-11	2.41884
2.79721	1	3	1	6.40134e-11	2.49632
2.79721	1	4	3	6.47369e-11	2.57231
2.79721	1	5	4	6.53772e-11	2.64641
2.79821	1	1	2	6.23381e-11	2.34
2.79821	1	2	6	6.32101e-11	2.41859
2.79821	1	3	1	6.40112e-11	2.4961
2.79821	1	4	3	6.47352e-11	2.57212
2.79821	1	5	4	6.53759e-11	2.64625
2.79921	1	1	2	6.23349e-11	2.33972
2.79921	1	2	6	6.32074e-11	2.41834
2.79921	1	3	1	6.40091e-11	2.49588
2.79921	1	4	3	6.47335e-11	2.57193
2.79921	1	5	4	6.53747e-11	2.64609
2.80021	1	1	2	6.23317e-11	2.33944
2.80021	1	2	6	6.32047e-11	2.41809
2.80021	1	3	1	6.40069e-11	2.49566
2.80021	1	4	3	6.47317e-11	2.57174
2.80021	1	5	4	6.53734e-11	2.64594
2.80121	1	1	2	6.23284e-11	2.33916
2.80121	1	2	6	6.3202e-11	2.41784
2.80121	1	3	1	6.40047e-11	2.49544
2.80121	1	4	3	6.473e-11	2.57155
2.80121	1	5	4	6.53721e-11	2.64578
2.80221	1	1	2	6.23252e-11	2.33887
2.80221	1	2	6	6.31993e-11	2.41759
2.80221	1	3	1	6.40025e-11	2.49522
2.80221	1	4	3	6.47283e-11	2.57137
2.80221	1	5	4	6.53708e-11	2.64562
2.80321	1	1	2	6.2322e-11	2.33859
2.80321	1	2	6	6.31966e-11	2.41734
2.80321	1	3	1	6.40003e-11	2.495
2.80321	1	4	3	6.47266e-11	2.57118
2.80321	1	5	4	6.53695e-11	2.64547
2.80421	1	1	2	6.23187e-11	2.33831
2.80421	1	2	6	6.31939e-11	2.41709
2.80421	1	3	1	6.39981e-11	2.49478
2.80421	1	4	3	6.47249e-11	2.57099
2.80421	1	5	4	6.53683e-11	2.64531
2.80521	1	1	2	6.23155e-11	2.33803
2.80521	1	2	6	6.31912e-11	2.41683
2.80521	1	3	1	6.39959e-11	2.49456
2.80521	1	4	3	6.47232e-11	2.5708
2.80521	1	5	4	6.5367e-11	2.64515
2.80621	1	1	2	6.23122e-11	2.33774
2.80621	1	2	6	6.31885e-11	2.41658
2.80621	1	3	1	6.39938e-11	2.49434
2.80621	1	4	3	6.47215e-11	2.57061
2.80621	1	5	4	6.53657e-11	2.645
2.80721	1	1	2	6.2309e-11	2.33746
2.80721	1	2	6	6.31858e-11	2.41633
2.80721	1	3	1	6.39916e-11	2.49412
2.80721	1	4	3	6.47198e-11	2.57043
2.80721	1	5	4	6.53644e-11	2.64484
2.80821	1	1	2	6.23058e-11	2.33718
2.80821	1	2	6	6.31831e-11	2.41608
2.80821	1	3	1	6.39894e-11	2.4939
2.80821	1	4	3	6.4718e-11	2.57024
2.80821	1	5	4	6.53631e-11	2.64468
2.80921	1	1	2	6.23025e-11	2.3369
2.80921	1	2	6	6.31804e-11	2.41583
2.80921	1	3	1	6.39872e-11	2.49368
2.80921	1	4	3	6.47163e-11	2.57005
2.80921	1	5	4	6.53618e-11	2.64453
2.81021	1	1	2	6.22993e-11	2.33661
2.81021	1	2	6	6.31777e-11	2.41558
2.81021	1	3	1	6.3985e-11	2.49346
2.81021	1	4	3	6.47146e-11	2.56986
2.81021	1	5	4	6.53605e-11	2.64437
2.81121	1	1	2	6.2296e-11	2.33633
2.81121	1	2	6	6.3175e-11	2.41533
2.81121	1	3	1	6.39828e-11	2.49324
2.81121	1	4	3	6.47129e-11	2.56967
2.81121	1	5	4	6.53593e-11	2.64421
2.81221	1	1	2	6.22928e-11	2.33605
2.81221	1	2	6	6.31723e-11	2.41507
2.81221	1	3	1	6.39806e-11	2.49302
2.81221	1	4	3	6.47112e-11	2.56949
2.81221	1	5	4	6.5358e-11	2.64406
2.81321	1	1	2	6.22895e-11	2.33577
2.81321	1	2	6	6.31696e-11	2.41482
